version	path	baseline_class	source_sha256	target_contract_id
20260901111500	db/migrations/clm/V20260901111500__clm_create_schema.sql	APPLY_IMMUTABLE_BASELINE	b7afa0aee519bb3e989d31b4df38c6a6189b6925a642b9ca97328e0068a0ec37	IMMUTABLE_BYTES
20260901112000	db/migrations/sales/V20260901112000__sales_create_schema.sql	APPLY_IMMUTABLE_BASELINE	0fa8c40d35dcfb821a2910db7654e145e1592da385b23782467385818b40fc8b	IMMUTABLE_BYTES
20260901112500	db/migrations/procure/V20260901112500__procure_create_schema.sql	APPLY_IMMUTABLE_BASELINE	6ee8ba576a8a416fab216a46ab6277915b212c0ff4a4c6a97c608131ef0cc4a5	IMMUTABLE_BYTES
20260901113000	db/migrations/inventory/V20260901113000__inventory_create_schema.sql	APPLY_IMMUTABLE_BASELINE	0b1ac10f9b8837c3be375574227fbe4d7afaecb8fbd0ffc2cde0a3c323dc05a5	IMMUTABLE_BYTES
20260901113500	db/migrations/costing/V20260901113500__costing_create_schema.sql	APPLY_IMMUTABLE_BASELINE	958f629bfedf509472a6177e4c2a9c42d200091ba8c3f08969ca9b1e672c7c0f	IMMUTABLE_BYTES
20260901114000	db/migrations/project/V20260901114000__project_create_schema.sql	APPLY_IMMUTABLE_BASELINE	79d570ed2181c3567e914008059cc72a6453e1a9fd2d510eadb0f5e6c2f1168d	IMMUTABLE_BYTES
20260901114500	db/migrations/service/V20260901114500__service_create_schema.sql	APPLY_IMMUTABLE_BASELINE	b6afdd59d1097d837f30739cd3939d911b2c946e6097c0f827ff2cbdcb08211e	IMMUTABLE_BYTES
20260901115000	db/migrations/finance/V20260901115000__finance_create_schema.sql	APPLY_IMMUTABLE_BASELINE	3628a6cce1332371489bfa83203137f096888f8672481cc05e6d88354828b688	IMMUTABLE_BYTES
20260901115500	db/migrations/ledger/V20260901115500__ledger_create_schema.sql	APPLY_IMMUTABLE_BASELINE	1ab8496a1e8c368a80451964a2494599596192f319770eccf18f88d67b03204f	IMMUTABLE_BYTES
20260901120000	db/migrations/invoice/V20260901120000__invoice_create_schema.sql	APPLY_IMMUTABLE_BASELINE	71f32ba4747df444d09604106abb4a1b00c4b20b28a6328e713829cc4a0b957e	IMMUTABLE_BYTES
20260901120500	db/migrations/portal/V20260901120500__portal_create_schema.sql	APPLY_IMMUTABLE_BASELINE	aba92acd524570f2d3d63dd177eb8da3a3457ba4a060c451de198318880a5877	IMMUTABLE_BYTES
20260901121000	db/migrations/reporting/V20260901121000__reporting_create_schema.sql	APPLY_IMMUTABLE_BASELINE	a8f078c43f24261959551729c01bafb0ba00701f552745c1672e04343641578a	IMMUTABLE_BYTES
20260915090000	db/migrations/platform_msg/V20260915090000__platform_msg_create_idempotency_keys.sql	APPLY_IMMUTABLE_BASELINE	d2ed6f6f1d7d22a5178f52eb945b6ad23a7c7c73ef28f4ab535bcb06c9304b43	IMMUTABLE_BYTES
20261012090000	db/migrations/platform_core/V20261012090000__platform_core_identity_user_accounts.sql	APPLY_IMMUTABLE_BASELINE	f567c5a860ec9c05b4b04dc02ba04f17caddff61ab25db93999cadb18c814441	IMMUTABLE_BYTES
20261012090500	db/migrations/platform_core/V20261012090500__platform_core_identity_user_credentials.sql	REWRITE_THEN_APPLY	3d98dab69e79b103c788cbf91cd2230d5a5ecb1dfbe90d69920684f5dc314fbd	IDENTITY_CREDENTIAL_SECRET_TARGET_V1
20261012091000	db/migrations/platform_core/V20261012091000__platform_core_identity_user_password_history.sql	APPLY_IMMUTABLE_BASELINE	998ed9d4b83a1f58aaa4e44b7f2500102c4d44c024b533bd3ab872dbca23a32a	IMMUTABLE_BYTES
20261012091500	db/migrations/platform_core/V20261012091500__platform_core_identity_user_devices.sql	APPLY_IMMUTABLE_BASELINE	589a736ab6500b395bddc9cc8958a6104431069c7cc1dc90180e006a8ad6c940	IMMUTABLE_BYTES
20261012092000	db/migrations/platform_core/V20261012092000__platform_core_identity_sessions.sql	APPLY_IMMUTABLE_BASELINE	8a61e85d0b18bb23c4351a78ee7fe9c15fd5cd3cb64195c58d3e62469b958cef	IMMUTABLE_BYTES
20261012092500	db/migrations/platform_core/V20261012092500__platform_core_identity_reauth_challenges.sql	APPLY_IMMUTABLE_BASELINE	117c5fd0c0878bebcda26ee922c2ce5844e72700c38cec233102b4146a386db6	IMMUTABLE_BYTES
